Total images: 18594
Total colony/year combos: 1041

Colony                                             Year   Count
Hell_Pass_Coast_B                                  2018   22
Little_Mud_Grass_Island                            2015   22
Beauvoir                                           2021   21
Biloxi_North_7                                     2010   21
Birdsfoot_West_4                                   2013   21
Curlew_Island                                      2015   21
Door_Point_Lagoon_1                                2013   21
Dressing_Point                                     2010   21
Evia_Island                                        2010   21
Terrapin_Island                                    2021   21
Bayou_Platte_Island_South                          2013   20
Broad                                              2021   20
Dickinson_Bay_Spoil_Island                         2021   20
Door_Point_Lagoon_1                                2010   20
Dry_Bread_Island                                   2010   20
Hell_Pass_Coast_B                                  2021   20
Laguna_Vista_Spoils_A                              2021   20
Lanark_Reef_West                                   2010   20
New_Harbor_Island_2                                2011   20
Pita_Island                                        2021   20
Raccoon_Island_West                                2013   20
Saint_George_Causeway                              2013   20
Biloxi_North_5                                     2010   19
Biloxi_South_5_A                                   2015   19
Biloxi_South_6                                     2021   19
Birdsfoot_East_3                                   2012   19
Brush_Island                                       2013   19
Cat_Bay_Island                                     2011   19
Chandeleur_North_B                                 2011   19
Evia_Island                                        2021   19
Lanark_Reef_West                                   2015   19
Martin_Island                                      2015   19
Mustang_Bayou_Island                               2021   19
Raccoon_Island_West                                2015   19
Rollover_Bay_D                                     2010   19
Bahia_Grande_B                                     2021   18
Bay_Ronquille_Northwest_Island                     2011   18
Biloxi_North_10_E                                  2012   18
Biloxi_North_13                                    2012   18
Biloxi_North_13                                    2015   18
Biloxi_South_5_B                                   2011   18
Brush_Island                                       2010   18
Chandeleur_South_B                                 2013   18
Chandeleur_South_C                                 2012   18
Chandeleur_South_C                                 2015   18
Egmont_Key                                         2010   18
Half_Moon_Island                                   2012   18
Kanaloa_Spoil                                      2021   18
Naval_Air_Station_Islands_D                        2021   18
New_Harbor_Island_2                                2012   18
New_Harbor_Island_3                                2012   18
Raccoon_Island_West                                2012   18
Smith_Island                                       2010   18
West_Bay_Bird_Island                               2021   18
Belle_Pass_East                                    2015   17
Biloxi_North_10_A                                  2015   17
Biloxi_North_14                                    2011   17
Biloxi_North_16                                    2012   17
Biloxi_North_8                                     2021   17
Biloxi_South_2                                     2013   17
Cat_Bay_North_Island                               2011   17
Cedar_Lakes_4                                      2010   17
Copano_Rattlesnake_Point                           2010   17
Drum_Bay_Island                                    2021   17
Half_Moon_Island                                   2021   17
Long_Bay_Island                                    2010   17
Turtle_Pen_Isle                                    2018   17
Belle_Pass_East                                    2012   16
Biloxi_North_10_E                                  2011   16
Biloxi_North_13                                    2021   16
Biloxi_North_37                                    2011   16
Biloxi_South_2                                     2011   16
Biloxi_South_5_B                                   2012   16
Brush_Island                                       2012   16
Brush_Island                                       2018   16
Cat_Island                                         2010   16
Cat_Island                                         2013   16
East_Marker_Spoil                                  2021   16
Flag_Island_South                                  2021   16
Hell_Pass_Coast_C                                  2018   16
High_Island                                        2010   16
Little_Mud_Grass_Island_Northeast                  2011   16
Long_Bay_Island                                    2018   16
Marker_52_Spoil_Island                             2021   16
Bastian_Island                                     2010   15
Bastian_Island                                     2013   15
Belle_Isle                                         2010   15
Biloxi_North_13                                    2010   15
Biloxi_North_16                                    2018   15
Biloxi_North_36                                    2021   15
Biloxi_North_7                                     2021   15
Biloxi_South_5_A                                   2010   15
Cat_Bay_South_Island                               2012   15
Chandeleur_South_B                                 2011   15
Clearwater_Harbor_Island                           2010   15
Door_Point_Lagoon_2                                2021   15
Green_Hill_Spoils_B                                2021   15
Lake_Number_Five                                   2015   15
Nueces_Causeway                                    2010   15
Shell_Island_East                                  2015   15
Ship_Island_West                                   2015   15
Terrapin_Island                                    2013   15
Wine_Island                                        2010   15
Arroyo_Colorado_Spoils_B1                          2021   14
Audubon_Island                                     2021   14
Bahia_Grande_C_West                                2021   14
Barataria_Bay_12                                   2013   14
Bay_Harbor_Island                                  2021   14
Biloxi_North_7                                     2012   14
Biloxi_South_2                                     2012   14
Bird_Key_Terra_Ceia                                2010   14
Hell_Pass_Coast_A                                  2015   14
Heron_Island                                       2011   14
Little_Mud_Grass_Island_Northeast                  2018   14
Long_Bay_Island                                    2021   14
New_Harbor_Island_1                                2011   14
Rabit_Island_Laguna_Madre                          2021   14
Saint_Joseph_Sound_Spoil_Island                    2010   14
Turtle_Pen_Isle                                    2021   14
Arcadia_Reef_A                                     2010   13
Bayou_Platte_Island_South                          2011   13
Bayou_Platte_Island_South                          2018   13
Bay_Ronquille_Northwest_Island                     2010   13
Bay_Ronquille_Northwest_Island                     2012   13
Biloxi_North_13                                    2018   13
Biloxi_North_14                                    2013   13
Biloxi_North_4                                     2015   13
Biloxi_North_8                                     2018   13
Biloxi_South_10_B                                  2013   13
