Total images: 18594
Total colony/year combos: 1041

Colony                                             Year   Count
Fricot_Bayou_Island                                2013   3
Fricot_Bayou_Island                                2018   3
Grand_Island_Point                                 2010   3
Green_Island_Spoils_I                              2021   3
Kanaloa_Spoil_East                                 2010   3
Kanaloa_Spoil_North                                2010   3
Lanark_Reef-Pelican_Lump                           2010   3
Lanark_Reef-Pelican_Lump                           2012   3
Little_Bay_C                                       2010   3
Louisiana_West_1                                   2010   3
Louisiana_West_3                                   2010   3
Manilla_Island                                     2018   3
Naval_Air_Station_Islands_H                        2021   3
Robinson_Island                                    2021   3
Salt_Lake_G                                        2010   3
Scofield_Island                                    2015   3
Second_Chain_of_Islands_B                          2010   3
Second_Chain_of_Islands_J                          2010   3
Ship_Island_East                                   2012   3
Terrapin_Island                                    2010   3
Turtle_Bay_Island                                  2010   3
Whiskey_Island                                     2018   3
Wine_Island                                        2012   3
Anderson_Point_Island                              2010   2
Anderson_Point_Island                              2013   2
Barataria_Bay_12                                   2021   2
Barataria_Bay_5_AB                                 2011   2
Bastian_Island                                     2011   2
Bayou_Platte_Island_North                          2021   2
Bay_Keys                                           2010   2
Beauregard_Island                                  2015   2
Beauregard_Island                                  2018   2
Beauvoir                                           2010   2
Beauvoir                                           2012   2
Biloxi_Lake_B_2                                    2010   2
Biloxi_North_10_C                                  2010   2
Biloxi_North_11                                    2013   2
Biloxi_North_11                                    2018   2
Biloxi_North_15                                    2010   2
Biloxi_North_16                                    2010   2
Biloxi_North_17                                    2010   2
Biloxi_North_18                                    2010   2
Biloxi_North_22                                    2010   2
Biloxi_North_25                                    2011   2
Biloxi_North_26                                    2013   2
Biloxi_North_28                                    2013   2
Biloxi_North_30_A                                  2010   2
Biloxi_North_31                                    2011   2
Biloxi_North_31                                    2012   2
Biloxi_North_31                                    2015   2
Biloxi_North_35                                    2011   2
Biloxi_North_4                                     2012   2
Biloxi_North_40                                    2011   2
Biloxi_North_42                                    2015   2
Biloxi_North_42                                    2018   2
Biloxi_North_8                                     2010   2
Biloxi_South_10_D                                  2021   2
Biloxi_South_16                                    2011   2
Biloxi_South_4_A                                   2015   2
Biloxi_South_4_B                                   2010   2
Biloxi_South_4_B                                   2011   2
Biloxi_South_4_B                                   2018   2
Biloxi_South_6                                     2015   2
Biloxi_South_7                                     2012   2
Birdsfoot_East_4_B                                 2021   2
Bob_Key                                            2010   2
Bon_Secour_3                                       2021   2
Bryan_Mound                                        2010   2
Burrwood_Bayou_South                               2010   2
Causeway_Island_Platforms_A                        2010   2
Cedar_Island                                       2010   2
Chandeleur_North_C                                 2015   2
Chandeleur_North_D                                 2010   2
Chandeleur_North_D                                 2015   2
Chandeleur_North_D                                 2018   2
Chandeleur_North_E                                 2010   2
Chandeleur_North_E                                 2015   2
Chandeleur_North_E                                 2018   2
Chandeleur_North_G                                 2018   2
Chandeleur_North_H                                 2012   2
Chandeleur_North_H                                 2015   2
Chandeleur_North_J                                 2012   2
Chandeleur_North_K                                 2012   2
Chandeleur_South_B                                 2012   2
Chandeleur_South_D                                 2015   2
Comfort_Island                                     2015   2
Cowan                                              2021   2
Dauphin_Island_2                                   2012   2
Deer_Island_Northeast                              2021   2
Drum_Bay_Island                                    2018   2
Dryman_Bay_Island                                  2010   2
East_Bay_Spoil_Island                              2018   2
Follets_Island                                     2010   2
Green_Island_Spoils_H                              2021   2
Green_Island_Spoils_J                              2021   2
Hell_Pass_Coast_D                                  2021   2
Hell_Pass_Coast_E                                  2015   2
Hemp_Key                                           2010   2
Horn_Island                                        2015   2
Hospital_Key                                       2010   2
Live_Oak_Grove                                     2010   2
Lavaca_Bay_Spoils_E                                2010   2
Little_Bird_Island_Matagorda                       2010   2
Marquesas_Keys                                     2010   2
Mink_Island                                        2018   2
Naval_Air_Station_Islands_G                        2021   2
Naval_Air_Station_Islands_I                        2021   2
Navarre_Causeway_B                                 2021   2
New_Harbor_Island_1                                2012   2
New_Harbor_Island_1                                2013   2
New_Harbor_Island_2                                2021   2
Nueces_Rivermouth                                  2010   2
Okeechobee_Waterway_Spoil_Island                   2010   2
Old_Round_Island                                   2010   2
Old_Round_Island                                   2021   2
Ostego_Bay_Islet_North                             2010   2
Pine_Oak_Woods                                     2010   2
Robertson_Island                                   2021   2
Rollover_Bay_B                                     2010   2
Saint_George_Island                                2010   2
Sand_Keys                                          2010   2
Second_Chain_of_Islands_J                          2021   2
Ship_Island_West                                   2013   2
Stump_Pass                                         2010   2
Sutherland_Bayou_Spoil_Island                      2010   2
Tegarden                                           2021   2
Texas_Coast_9                                      2010   2
West_Karako_Bay_Islet                              2010   2
West_Nueces_Bay_51W_A                              2010   2
West_Nueces_Bay_51W_K                              2010   2
West_Nueces_Bay_51W_K                              2021   2
West_Nueces_Bay_51W_P                              2010   2
Willet_Island                                      2010   2
Wine_Island                                        2015   2
Alligator_Point                                    2021   1
Apalachicola_Bird_Island                           2015   1
Avocet_Island                                      2015   1
Bahia_Grande_A                                     2021   1
Barataria_Bay_13                                   2015   1
Barataria_Bay_4                                    2010   1
Barataria_Bay_7                                    2011   1
Barataria_Bay_7                                    2013   1
Bastian_Island                                     2015   1
Bay_Harbor_Island                                  2010   1
Bay_Ronquille_Northeast_Island                     2013   1
Big_Hickory_Bay_Islet                              2010   1
Biloxi_North_10_C                                  2012   1
Biloxi_North_10_C                                  2013   1
Biloxi_North_10_C                                  2018   1
Biloxi_North_10_D                                  2010   1
Biloxi_North_10_D                                  2021   1
Biloxi_North_10_E                                  2010   1
Biloxi_North_22                                    2012   1
Biloxi_North_25                                    2012   1
Biloxi_North_25                                    2013   1
Biloxi_North_25                                    2015   1
Biloxi_North_26                                    2010   1
Biloxi_North_32                                    2010   1
Biloxi_North_4                                     2010   1
Biloxi_North_40                                    2013   1
Biloxi_North_41                                    2015   1
Biloxi_North_5                                     2015   1
Biloxi_North_8                                     2015   1
Biloxi_South_10_C                                  2018   1
Biloxi_South_17                                    2018   1
Biloxi_South_3                                     2021   1
Biloxi_South_4_A                                   2010   1
Biloxi_South_6                                     2010   1
Biloxi_South_7                                     2010   1
Biloxi_South_7                                     2011   1
Birdsfoot_East_3                                   2011   1
Birdsfoot_East_3                                   2015   1
Birdsfoot_West_2                                   2012   1
Bird_Key_Anclote_River                             2010   1
Black_Jack_Point_Reef_I                            2010   1
Black_Key_South_Islet                              2010   1
Bon_Secour_1                                       2021   1
Buchanan_Keys                                      2010   1
Burrwood_Bayou_North                               2010   1
Cat_Bay_Island                                     2013   1
CC_Channel_Spoil_East                              2010   1
Cedar_Lakes_3                                      2010   1
Chandeleur_North_B                                 2010   1
Chandeleur_North_B                                 2018   1
Chandeleur_North_D                                 2013   1
Chandeleur_North_E                                 2011   1
Chandeleur_North_F                                 2012   1
Chandeleur_North_G                                 2021   1
Chandeleur_North_H                                 2018   1
Chandeleur_North_I                                 2018   1
Chandeleur_South_A                                 2015   1
Chandeleur_South_A                                 2018   1
Chandeleur_South_B                                 2010   1
Chandeleur_South_C                                 2013   1
Chandeleur_South_E                                 2018   1
Clam_Key                                           2010   1
Clearwater_Harbor_Wreck                            2010   1
Comfort_Island                                     2013   1
Cortez_Island                                      2010   1
Cowpens_Cut_Key                                    2010   1
Dead_Terrapin_Key                                  2010   1
Duck_Key                                           2010   1
East_Long_Key_Islet                                2010   1
Estero_Preserve_Long_Island                        2010   1
Fakahatchee_Bay_Islet                              2010   1
Flag_Island_North                                  2015   1
Frank_Key                                          2010   1
Gasparilla_Sound_Spoil_Island                      2010   1
Givney_Key                                         2010   1
Grand_Island_Point                                 2013   1
Green_Island_Spoils_A                              2021   1
Hell_Pass_Coast_E                                  2018   1
Lake_Number_Five                                   2011   1
Lake_Number_Five                                   2012   1
Lanark_Reef-Pelican_Lump                           2013   1
Lemon_Bay_Spoil_Island                             2010   1
Little_Bird_Island                                 2013   1
Little_Bird_Key_North                              2010   1
Little_Bird_Key_South                              2010   1
Longbeach_Islet                                    2010   1
Long_Reef_Deadman_Islands_A                        2010   1
Louisiana_West_2                                   2010   1
Louisiana_West_4                                   2010   1
Louisiana_West_5                                   2010   1
Man_of_War_Key                                     2010   1
Matlacha_Pass_National_Wildlife_Refuge             2010   1
Mink_Island                                        2021   1
Mississippi_Coast_1                                2010   1
Mississippi_Coast_2                                2010   1
New_Harbor_Island_1                                2010   1
New_Harbor_Island_3                                2022   1
New_Round_Island                                   2021   1
Ostego_Bay_Islet_South                             2010   1
Oyster_Keys                                        2010   1
Pavillion_Key                                      2010   1
Pelican_Island                                     2015   1
Pelican_Key                                        2010   1
Pine_Island_Sound_3                                2010   1
Port_of_Gulfport                                   2021   1
Rollover_Bay_B                                     2021   1
Saint_George_Island_Plantation                     2021   1
Scofield_Island                                    2021   1
Seadrift_Island_B                                  2010   1
Seadrift_Island_C                                  2010   1
Second_Chain_of_Islands_D                          2021   1
Second_Chain_of_Islands_K                          2010   1
Second_Chance_Critical_Wildlife_Area               2010   1
Ship_Island_East                                   2010   1
Skimmer_Island_Nueces_Bay                          2010   1
Smith_Island                                       2021   1
Southwest_Pass_Islands_1                           2018   1
Southwest_Pass_Islands_1                           2021   1
South_Pass_Island_A                                2010   1
South_Pass_Island_B                                2010   1
Terrebonne_Bay_2                                   2010   1
Terrebonne_Bay_3                                   2010   1
Terrebonne_Bay_4                                   2010   1
Terrebonne_Bay_5                                   2010   1
Terrebonne_Bay_7                                   2010   1
Turtle_Pen_Isle                                    2010   1
Walker_Island                                      2021   1
Water_Key_Mangroves                                2010   1
West_Nueces_Bay_51W_D                              2010   1
West_Nueces_Bay_51W_J                              2010   1
White_Log_Lake_Islands                             2010   1
Wine_Island                                        2013   1
